data,hora_inicio,hora_fim,servico_amostra,sentido_amostra,id_veiculo_amostra,flag_reprocessamento,protocolo,datetime_partida_amostra,datetime_chegada_amostra,status,data_apurado,id_veiculo_apurado,servico_apurado,sentido_apurado,datetime_partida_apurado,datetime_chegada_apurado
2022-10-10,07:17:00,08:58:00,371,,51579,1,SMTR202211008581,2022-10-10 07:17:00,2022-10-10 08:58:00,,,,,,,
2022-10-10,21:38:00,22:09:00,371,,51525,1,SMTR202211008580,2022-10-10 21:38:00,2022-10-10 22:09:00,,,,,,,
2022-10-10,05:58:00,06:37:00,371,,51502,1,SMTR202211008579,2022-10-10 05:58:00,2022-10-10 06:37:00,,,,,,,
2022-10-10,22:39:00,23:11:00,371,,51502,1,SMTR202211008578,2022-10-10 22:39:00,2022-10-10 23:11:00,,,,,,,
2022-10-10,06:23:00,07:14:00,371,,51556,1,SMTR202211008577,2022-10-10 06:23:00,2022-10-10 07:14:00,,,,,,,
2022-10-10,09:40:00,10:27:00,371,,51556,1,SMTR202211008575,2022-10-10 09:40:00,2022-10-10 10:27:00,,,,,,,
2022-10-10,08:13:00,08:51:00,371,,51509,1,SMTR202211008574,2022-10-10 08:13:00,2022-10-10 08:51:00,,,,,,,
2022-10-10,08:56:00,09:37:00,371,,51509,1,SMTR202211008573,2022-10-10 08:56:00,2022-10-10 09:37:00,,,,,,,
2022-10-10,07:11:00,08:10:00,371,,51538,1,SMTR202211008572,2022-10-10 07:11:00,2022-10-10 08:10:00,,,,,,,
2022-10-10,05:39:00,06:11:00,371,,51538,1,SMTR202211008570,2022-10-10 05:39:00,2022-10-10 06:11:00,,,,,,,
2022-10-10,18:12:00,18:25:00,371,,51510,1,SMTR202211008568,2022-10-10 18:12:00,2022-10-10 18:25:00,,,,,,,
2022-10-10,17:47:00,17:54:00,371,,51510,1,SMTR202211008566,2022-10-10 17:47:00,2022-10-10 17:54:00,,,,,,,
2022-10-10,17:34:00,17:46:00,371,,51552,1,SMTR202211008564,2022-10-10 17:34:00,2022-10-10 17:46:00,,,,,,,
2022-10-10,17:12:00,17:25:00,371,,51557,1,SMTR202211008563,2022-10-10 17:12:00,2022-10-10 17:25:00,,,,,,,
2022-10-10,16:41:00,16:54:00,371,,51516,1,SMTR202211008560,2022-10-10 16:41:00,2022-10-10 16:54:00,,,,,,,
2022-10-10,15:38:00,15:50:00,371,,51516,1,SMTR202211008558,2022-10-10 15:38:00,2022-10-10 15:50:00,,,,,,,
2022-10-10,13:20:00,13:31:00,SP810,,50085,1,SMTR202211006775,2022-10-10 13:20:00,2022-10-10 13:31:00,,,,,,,
2022-10-10,17:00:00,17:11:00,SP810,,50206,1,SMTR202211006774,2022-10-10 17:00:00,2022-10-10 17:11:00,,,,,,,
2022-10-10,16:30:00,16:39:00,SP810,,50206,1,SMTR202211006772,2022-10-10 16:30:00,2022-10-10 16:39:00,,,,,,,
2022-10-10,15:30:00,15:37:00,SP810,,50206,1,SMTR202211006770,2022-10-10 15:30:00,2022-10-10 15:37:00,,,,,,,
2022-10-10,13:10:00,13:19:00,SP805,,50103,1,SMTR202211006746,2022-10-10 13:10:00,2022-10-10 13:19:00,,,,,,,
2022-10-10,17:14:00,17:30:00,038,,50218,1,SMTR202211006593,2022-10-10 17:14:00,2022-10-10 17:30:00,,,,,,,
2022-10-10,15:45:00,16:06:00,810,,50206,1,SMTR202211006552,2022-10-10 15:45:00,2022-10-10 16:06:00,,,,,,,
2022-10-10,15:00:00,15:17:00,810,,50206,1,SMTR202211006550,2022-10-10 15:00:00,2022-10-10 15:17:00,,,,,,,
2022-10-10,14:18:00,14:32:00,810,,50206,1,SMTR202211006548,2022-10-10 14:18:00,2022-10-10 14:32:00,,,,,,,
2022-10-10,13:53:00,14:12:00,805,,50103,1,SMTR202211006539,2022-10-10 13:53:00,2022-10-10 14:12:00,,,,,,,
2022-10-10,13:29:00,13:47:00,805,,50103,1,SMTR202211006538,2022-10-10 13:29:00,2022-10-10 13:47:00,,,,,,,
2022-10-10,13:06:00,13:24:00,302,,50017,1,SMTR202211006508,2022-10-10 13:06:00,2022-10-10 13:24:00,,,,,,,
2022-10-10,12:17:00,12:38:00,SV483,,31144,1,SMTR202211006034,2022-10-10 12:17:00,2022-10-10 12:38:00,,,,,,,
2022-10-10,11:35:00,11:50:00,SV483,,31130,1,SMTR202211006033,2022-10-10 11:35:00,2022-10-10 11:50:00,,,,,,,
2022-10-10,11:12:00,11:31:00,SV483,,31061,1,SMTR202211006031,2022-10-10 11:12:00,2022-10-10 11:31:00,,,,,,,
2022-10-10,10:51:00,11:05:00,SP483,,31163,1,SMTR202211006030,2022-10-10 10:51:00,2022-10-10 11:05:00,,,,,,,
